"from","to","count"
"SUNUM","SM",91
"SGM","SM",86
"President House","SGM",77
"SM","SGM",73
"admin","UM",69
"UM","admin",67
"SUNUM","Tören",53
"President House","Rektörlük",51
"Rektörlük","SUNUM",48
"SUNUM","Rektörlük",47
"SGM","President House",36
"admin","FASS",35
"Rektörlük","President House",35
"SUNUM","Lake",35
"FASS","admin",33
"President House","SUNUM",33
"SUNUM","SGM",31
"SUNUM","Sport Center",29
"SGM","SUNUM",29
"Lake","SUNUM",28
"Sport Center","SUNUM",24
"FMAN","admin",19
"admin","FMAN",18
"admin","Kütüphane",15
"Yurt","admin",15
"SUNUM","President House",15
"Kütüphane","admin",13
"admin","FENS",11
"admin","Main",11
"FENS","admin",10
"admin","Yurt",10
"admin","CP",8
"Main","admin",8
"admin","Tören",7
"admin","SGM",7
"Tören","admin",5
"CP","admin",5
"admin","SM",5
"admin","Sport Center",4
"Lake","admin",4
"SM","admin",4
"admin","Lake",3
"SGM","admin",3
"President House","admin",1
"admin","SUNUM",1
"SUNUM","admin",1
